Time,Price,Trade Size,Type
17:15:55,1.56,5000,Buy Up
17:11:59,1.56,5000,Buy Up
17:09:42,1.56,4300,Buy Up
17:07:07,1.56,100,Sell Down
17:06:26,1.56,2700,Buy Up
17:06:26,1.56,14200,Buy Up
17:06:22,1.56,2200,Buy Up
17:06:11,1.56,10000,Buy Up
17:06:08,1.56,3200,Buy Up
17:06:08,1.56,3000,Buy Up
17:06:08,1.56,100,Buy Up
17:06:08,1.56,100,Buy Up
17:06:08,1.56,100,Buy Up
17:06:08,1.56,100,Buy Up
17:06:08,1.56,100,Buy Up
17:06:08,1.56,100,Buy Up
17:06:08,1.56,100,Buy Up
17:06:08,1.56,100,Buy Up
17:06:08,1.56,100,Buy Up
17:06:08,1.56,100,Buy Up
17:06:08,1.56,100,Buy Up
17:06:08,1.56,2700,Buy Up
17:06:01,1.56,300,Buy Up
17:06:01,1.56,100,Buy Up
17:06:01,1.56,25000,Buy Up
17:06:01,1.56,100,Buy Up
17:06:01,1.56,100,Buy Up
17:06:01,1.56,100,Buy Up
17:06:01,1.56,100,Buy Up
17:06:01,1.56,100,Buy Up
17:06:01,1.56,100,Buy Up
17:06:01,1.56,100,Buy Up
17:06:01,1.56,100,Buy Up
17:06:01,1.56,23800,Buy Up
17:06:00,1.56,126200,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,1000,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,5000,Buy Up
17:06:00,1.56,30000,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,10000,Buy Up
17:06:00,1.56,100,Buy Up
17:06:00,1.56,15900,Buy Up
17:04:00,1.56,200,Auction
17:04:00,1.56,3900,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,900,Auction
17:04:00,1.56,2600,Auction
17:04:00,1.56,5000,Auction
17:04:00,1.56,5000,Auction
17:04:00,1.56,25000,Auction
17:04:00,1.56,4400,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,5000,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,5200,Auction
17:04:00,1.56,4800,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,95000,Auction
17:04:00,1.56,8000,Auction
17:04:00,1.56,10000,Auction
17:04:00,1.56,5000,Auction
17:04:00,1.56,10000,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,1500,Auction
17:04:00,1.56,7700,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,100,Auction
17:04:00,1.56,5000,Auction
